time,rtt,throughput,loss_rate,latency
08:17:53,20.06,1.5,0.034,16.56
08:17:54,45.1,2.77,0.0449,15.96
08:17:55,87.41,1.93,0.0137,34.59
08:17:56,79.12,1.65,0.0137,53.92
08:17:57,72.41,3.9,0.0218,50.66
08:17:58,61.31,4.75,0.0409,16.31
08:18:00,73.88,3.16,0.0244,36.78
08:18:01,23.31,2.13,0.0449,32.9
08:18:02,26.56,5.0,0.02,35.43
08:18:03,73.2,0.78,0.014,46.7
08:18:04,40.21,3.42,0.01,48.34
08:18:05,62.61,3.76,0.0373,55.15
08:18:06,81.67,4.11,0.0088,30.64
08:18:07,74.26,3.24,0.0095,17.06
08:18:08,84.35,4.5,0.0366,10.52
08:18:09,91.79,0.8,0.0241,54.3
08:18:10,29.63,2.25,0.0455,22.5
08:18:11,48.28,1.7,0.0333,35.61
08:18:12,58.63,1.72,0.0344,14.52
08:18:13,52.06,2.13,0.0296,43.84
08:18:14,20.35,3.07,0.0382,30.24
08:18:15,87.34,2.02,0.0079,46.23
08:18:16,31.88,3.07,0.0209,32.85
08:18:17,36.11,4.39,0.0107,10.31
08:18:18,54.5,4.23,0.0459,30.53
08:18:19,32.19,2.92,0.0181,58.97
08:18:20,94.78,1.61,0.0141,39.18
08:18:21,63.67,4.04,0.0203,55.56
08:18:22,99.41,2.63,0.0439,10.95
08:18:23,33.1,0.76,0.0094,25.55
08:18:24,72.67,3.85,0.0253,23.78
08:18:25,98.91,3.91,0.0009,30.91
08:18:26,59.59,3.02,0.0345,24.06
08:18:27,41.34,2.72,0.0151,33.05
08:18:28,94.92,1.08,0.044,17.72
08:18:29,75.32,4.05,0.0303,15.13
08:18:30,94.55,2.29,0.0386,31.74
08:18:31,68.47,0.96,0.0252,25.94
08:18:32,96.13,2.33,0.0274,20.85
08:18:33,55.24,2.07,0.0203,56.21
08:18:34,84.29,1.82,0.0044,52.53
08:18:35,65.53,0.9,0.0216,22.17
08:18:36,52.42,1.7,0.0399,47.08
08:18:37,91.2,3.6,0.0385,39.49
08:18:38,80.37,1.56,0.0387,37.83
08:18:39,64.1,3.61,0.0261,17.97
08:18:40,27.08,0.79,0.002,34.32
08:18:41,68.96,4.11,0.0088,40.84
08:18:42,29.87,1.18,0.045,25.43
08:18:43,84.54,3.67,0.0153,34.45
08:18:44,45.78,2.02,0.0463,56.43
08:18:45,41.85,4.46,0.0309,30.8
08:18:46,44.86,1.98,0.0278,41.82
08:18:47,52.39,1.08,0.048,45.75
08:18:48,60.41,4.51,0.0281,16.64
08:18:49,35.56,1.08,0.0315,15.93
08:18:50,91.02,2.54,0.0301,47.96
08:18:51,42.35,3.37,0.035,38.61
08:18:52,42.16,2.0,0.0105,37.12
