time,rtt,throughput,loss_rate,latency
08:15:49,20.17,0.96,0.0461,42.12
08:15:50,58.49,3.88,0.0278,16.58
08:15:51,35.1,3.63,0.0131,40.76
08:15:52,26.1,2.52,0.0012,14.44
08:15:53,92.02,3.78,0.0051,31.01
08:15:54,44.4,4.66,0.0251,13.31
08:15:55,52.68,4.06,0.0007,59.55
08:15:56,34.18,3.18,0.0168,13.01
08:15:57,67.57,0.68,0.0005,18.71
08:15:58,70.87,3.6,0.0042,25.6
08:15:59,45.56,2.15,0.0074,46.54
08:16:00,31.28,3.45,0.0477,28.35
08:16:01,44.32,4.01,0.0379,59.09
08:16:02,61.77,1.28,0.03,54.46
08:16:03,40.79,3.36,0.0452,51.53
08:16:04,51.05,3.51,0.0483,56.32
08:16:05,81.6,4.77,0.0308,34.16
08:16:06,63.95,1.01,0.0093,15.55
08:16:07,60.17,1.2,0.0378,48.45
08:16:08,35.61,4.34,0.0299,36.73
08:16:09,76.82,4.83,0.0221,11.29
08:16:10,33.6,4.54,0.0429,47.01
08:16:11,42.68,1.71,0.0083,16.68
08:16:12,20.5,4.26,0.038,15.31
08:16:13,66.26,1.84,0.009,42.96
08:16:14,49.28,2.57,0.0217,17.95
08:16:15,70.62,1.11,0.0087,49.11
08:16:16,78.11,4.46,0.0062,45.94
08:16:17,61.76,2.34,0.0421,32.7
08:16:18,86.51,2.5,0.0441,15.35
08:16:19,98.99,1.55,0.031,21.77
08:16:20,56.07,2.92,0.0138,21.64
08:16:21,51.18,4.24,0.0403,13.08
08:16:22,36.11,3.56,0.0052,33.8
08:16:23,35.22,3.33,0.0036,39.5
08:16:24,51.58,1.07,0.0063,18.57
08:16:25,25.89,3.18,0.0174,27.39
08:16:26,58.28,4.39,0.0115,24.97
08:16:27,77.21,2.03,0.0253,51.25
08:16:28,83.14,3.82,0.0137,53.79
08:16:29,61.2,2.31,0.0455,59.72
08:16:30,61.09,0.81,0.0114,47.91
08:16:32,94.72,0.95,0.0149,50.07
08:16:33,50.58,3.77,0.0311,37.1
08:16:34,63.23,2.37,0.0215,10.38
08:16:35,70.63,2.48,0.0031,20.74
08:16:36,60.92,2.99,0.0098,14.48
08:16:37,29.58,4.16,0.0307,12.25
08:16:38,24.03,3.71,0.0392,21.37
08:16:39,45.51,3.57,0.009,25.43
08:16:40,92.34,0.63,0.0283,11.09
08:16:41,25.51,3.49,0.0203,47.75
08:16:42,90.61,1.92,0.0076,48.46
08:16:43,80.77,4.52,0.0142,54.85
08:16:44,76.02,0.95,0.0421,41.04
08:16:45,38.35,2.11,0.0311,54.34
08:16:46,36.25,1.37,0.0369,20.66
08:16:47,39.59,2.84,0.0316,56.95
08:16:48,56.84,3.63,0.0186,58.42
08:16:49,48.86,2.87,0.0359,37.43
