time,rtt,throughput,loss_rate,latency
08:24:04,73.88,0.92,0.0301,16.24
08:24:05,85.5,0.84,0.0138,10.76
08:24:06,97.14,1.43,0.0434,56.17
08:24:07,65.82,4.29,0.04,36.53
08:24:08,57.24,2.32,0.0481,47.0
08:24:09,94.28,2.92,0.009,46.82
08:24:10,97.23,4.68,0.0238,14.8
08:24:11,68.73,1.68,0.0314,16.13
08:24:12,92.49,1.94,0.0185,48.95
08:24:13,36.61,2.73,0.0114,23.17
08:24:14,96.75,3.18,0.0481,55.41
08:24:15,28.29,0.93,0.0088,52.95
08:24:16,81.81,3.08,0.0344,11.21
08:24:17,93.5,0.85,0.0477,33.74
08:24:18,39.8,1.9,0.047,57.83
08:24:19,38.69,2.69,0.0079,46.39
08:24:20,48.73,2.66,0.0124,10.16
08:24:21,79.05,3.46,0.0487,14.0
08:24:22,80.07,4.06,0.0376,41.89
08:24:23,20.12,3.38,0.0414,56.36
08:24:24,77.44,1.89,0.0117,35.02
08:24:25,21.77,2.2,0.0148,22.59
08:24:26,22.18,0.75,0.0056,52.46
08:24:27,64.37,4.3,0.0358,57.46
08:24:28,99.21,1.34,0.018,28.58
08:24:29,56.19,1.88,0.0233,53.42
08:24:30,69.74,4.38,0.0263,47.33
08:24:31,72.14,3.14,0.0495,12.85
08:24:32,62.2,3.24,0.0093,16.1
08:24:33,82.16,0.6,0.0224,15.61
08:24:34,86.13,1.74,0.0041,50.91
08:24:35,71.91,0.72,0.0337,22.0
08:24:36,83.64,2.07,0.0416,49.97
08:24:37,29.62,4.01,0.0335,47.07
08:24:38,41.14,0.64,0.0271,16.81
08:24:39,65.35,4.01,0.0084,53.92
08:24:40,74.25,1.36,0.0165,13.58
08:24:41,81.01,2.0,0.0407,20.68
08:24:42,37.41,3.65,0.0498,36.93
08:24:43,54.83,2.87,0.0292,13.38
08:24:44,69.3,2.76,0.0073,43.88
08:24:45,42.41,0.69,0.009,44.53
08:24:46,98.42,3.0,0.032,26.11
08:24:47,30.37,2.79,0.0168,15.58
08:24:48,80.23,3.37,0.0492,21.11
08:24:49,21.13,0.61,0.0107,54.92
08:24:50,35.08,2.05,0.0404,36.56
08:24:51,94.71,2.45,0.0257,46.55
08:24:52,86.42,3.21,0.0369,50.32
08:24:53,95.23,4.9,0.0172,25.64
08:24:54,36.82,0.61,0.0083,25.37
08:24:55,50.95,1.4,0.0026,48.94
08:24:56,68.08,1.48,0.0184,37.91
08:24:57,26.02,3.35,0.0063,45.13
08:24:58,40.3,4.75,0.0019,17.44
08:24:59,35.66,4.35,0.0492,53.13
08:25:00,48.42,4.19,0.0196,31.91
08:25:01,25.84,2.16,0.0042,36.63
08:25:02,31.81,2.41,0.0394,10.28
08:25:03,70.12,4.43,0.0228,36.74
