time,rtt,throughput,loss_rate,latency
08:22:00,50.38,1.25,0.0204,15.97
08:22:01,51.09,4.54,0.0035,38.65
08:22:02,50.7,1.04,0.0382,42.81
08:22:03,27.41,2.11,0.0414,28.55
08:22:04,59.78,0.76,0.0466,24.09
08:22:05,40.88,0.56,0.0172,48.33
08:22:06,39.73,4.3,0.0461,14.3
08:22:07,21.52,4.52,0.0319,34.39
08:22:08,85.05,1.38,0.0175,10.31
08:22:10,75.9,1.06,0.007,10.84
08:22:12,40.3,2.57,0.0053,23.9
08:22:13,53.9,2.04,0.0466,52.21
08:22:15,74.58,3.99,0.0478,15.11
08:22:17,22.66,0.9,0.0005,14.81
08:22:18,41.27,3.06,0.0377,25.43
08:22:19,49.56,3.77,0.0351,51.91
08:22:20,85.5,2.32,0.0185,30.4
08:22:21,21.68,2.59,0.0354,26.46
08:22:22,50.19,4.41,0.0339,51.79
08:22:23,42.11,4.67,0.0173,45.41
08:22:24,23.37,2.88,0.0352,37.03
08:22:25,30.23,2.46,0.0186,55.97
08:22:26,60.32,3.84,0.024,57.95
08:22:27,86.62,1.43,0.0497,11.22
08:22:28,21.56,1.38,0.0116,26.36
08:22:29,99.82,4.87,0.0051,18.44
08:22:30,71.95,2.64,0.0438,11.79
08:22:31,91.91,2.72,0.0201,47.13
08:22:32,52.31,4.57,0.0344,32.49
08:22:33,56.1,3.92,0.0114,50.09
08:22:34,95.25,4.66,0.0193,50.42
08:22:35,58.33,1.97,0.0396,40.2
08:22:36,43.04,3.75,0.0035,59.29
08:22:37,79.58,4.62,0.0141,54.78
08:22:38,44.53,2.46,0.0093,25.07
08:22:39,94.62,3.77,0.0498,25.64
08:22:40,72.08,1.65,0.0299,43.21
08:22:41,53.51,0.68,0.0227,10.02
08:22:42,90.33,3.58,0.0298,48.34
08:22:43,92.92,4.38,0.0087,18.82
08:22:44,86.31,1.04,0.0332,16.2
08:22:45,53.44,0.81,0.0243,37.23
08:22:46,37.37,4.65,0.0277,38.97
08:22:47,46.28,1.8,0.024,51.1
08:22:48,73.31,2.17,0.0465,40.11
08:22:49,94.21,2.7,0.0127,22.18
08:22:50,36.61,1.86,0.0451,43.2
08:22:51,81.39,1.91,0.0217,59.57
08:22:52,99.72,1.06,0.0164,19.72
08:22:53,59.71,4.12,0.0036,56.16
08:22:54,74.31,4.99,0.0295,54.8
08:22:55,61.79,1.38,0.0022,58.39
08:22:56,73.39,4.69,0.0001,55.74
08:22:57,31.47,4.41,0.0393,54.26
08:22:58,91.0,4.32,0.0494,33.16
08:22:59,90.21,3.57,0.0383,53.46
08:23:00,81.53,2.95,0.0237,24.03
