time,rtt,throughput,loss_rate,latency
08:26:08,94.21,4.93,0.0186,36.55
08:26:09,95.73,0.9,0.0357,49.51
08:26:10,24.29,3.17,0.0173,54.26
08:26:11,58.34,2.08,0.0234,32.92
08:26:12,36.74,1.27,0.0256,26.97
08:26:13,58.53,3.36,0.0337,54.71
08:26:14,28.77,2.37,0.033,46.26
08:26:15,42.21,2.09,0.0444,21.7
08:26:16,20.18,1.73,0.0169,24.37
08:26:17,32.1,3.98,0.0125,19.37
08:26:18,24.1,2.31,0.0138,16.66
08:26:19,63.75,1.4,0.0266,35.96
08:26:20,95.04,2.6,0.0416,49.15
08:26:21,66.56,0.81,0.0016,59.48
08:26:22,77.21,2.3,0.0488,59.67
08:26:23,72.57,0.53,0.0263,46.79
08:26:24,62.08,0.5,0.033,28.5
08:26:25,92.77,0.72,0.0477,40.56
08:26:26,53.53,2.43,0.0324,54.5
08:26:27,39.88,1.33,0.0343,31.08
08:26:28,79.04,4.05,0.015,25.3
08:26:29,64.58,0.72,0.0005,22.39
08:26:30,55.91,2.43,0.0054,20.58
08:26:31,79.1,1.33,0.0035,57.6
08:26:32,58.59,3.17,0.0341,11.08
08:26:33,89.75,3.06,0.0355,50.35
08:26:34,44.09,1.84,0.0433,22.62
08:26:35,30.38,2.08,0.0173,44.14
08:26:36,40.89,4.44,0.0318,44.25
08:26:37,91.73,3.17,0.005,29.91
08:26:38,37.86,4.77,0.0281,54.96
08:26:39,49.03,1.71,0.0093,19.07
08:26:40,64.71,0.5,0.0391,39.76
08:26:41,86.76,1.61,0.0393,54.43
08:26:42,48.23,2.95,0.0086,46.08
08:26:43,29.83,2.58,0.0052,56.03
08:26:44,51.09,1.28,0.0018,45.9
08:26:45,48.72,3.8,0.0047,51.0
08:26:46,90.48,1.22,0.0161,48.85
08:26:47,76.93,0.56,0.0046,33.44
08:26:48,62.54,1.93,0.0098,20.64
08:26:49,20.49,3.36,0.0198,50.13
08:26:50,26.4,2.65,0.0009,57.96
08:26:51,35.18,3.65,0.0452,24.62
08:26:52,54.27,3.13,0.0271,49.42
08:26:53,81.29,2.78,0.039,43.97
08:26:54,88.47,3.58,0.0115,41.87
08:26:55,56.2,1.72,0.0324,40.63
08:26:56,25.43,1.17,0.004,29.19
08:26:57,58.66,3.8,0.0118,14.09
08:26:58,81.64,1.76,0.0201,30.21
08:26:59,88.61,2.34,0.0151,58.9
08:27:00,64.16,1.24,0.0276,19.45
08:27:01,30.58,4.02,0.0466,36.0
08:27:02,34.78,1.72,0.0136,33.43
08:27:03,61.31,3.72,0.0115,46.0
08:27:04,82.16,4.07,0.0357,34.3
08:27:05,69.17,2.36,0.0305,17.94
08:27:06,44.72,4.03,0.0119,26.73
08:27:07,28.5,2.27,0.0381,57.15
